text;sentiment
puan pemerintah buktikan layanan pedulilindungi langgar privacy ;negative
temennya numpang akun pedulilindungi sampe skrg kmrn tolong akunya karna privacy disitu akun peduli lindungi ;negative
sampe peduli lindungi nyebar privacy gasi ;negative
melindungi privasi smartphone android hapus aplikasi dipakai download pakai aplikasi dibutuhkan aplikasi pakai peduli lindungi hapus pakai apps permissions your privacy matters ;negative
ribut data privacy barulah ;positive
tuduhan melanggar puan pemerintah buktikan layanan pedulilindungi langgar privacy penasatucom ;negative
wkwk komen privasi aneh klen beli tiket pake rawan privasinya kereta pake udah lohhh kalo udah vaksin booster hpku download pedulilindungi skrng privasi ;negative
setuju kalo pedulilindungi dihapus enak dipantau nggak sopan menganggu privasi bangsat plindungi ;negative
keputusan menkes kontrak pedulilindungi dinilai melanggar ketentuan peraturan mengabaikan kewajiban negara menjamin privasi ;negative
muncul peduli lindungi bertanyatanya privasi data ;negative
perpindahan data aplikasi pedulilindungi praktisi pelanggaran privasi ;negative
ngomong privasi kalo udaah kasi akses pedulilindungi ;negative
data bocor mudahnya ente bilang melindungi data privasi rakyat indonesia ;negative
bilang huxley dibanding orwell sederhana bicara privasi gitu aslinya install pedulilindungi kaga smean pikir arah rule them kemana ;negative
aturan gini data data aman steam paypal adobe gapernah kena privasi konsumen kalo udah urusan negara bocor data pedulilindungi bpjs kedaulatan apanya hehe ;negative
taringbang jaminan perlindungan privasi negara lemah contoh kayak peduli lindungi bermasalah judi online dianggap game legal game asli dianggap illegal ;positive
perlindungan data warga lawakan peduli lindungi datanya kayak keran bocor kelanjutan gimana orang orasi twitter space doxxing privasi ngutarain pendapat didoxxing komunis ;positive
sebarkan kabar gembira rakyat indonesia merdeka penjajahan privasi semoga pertanda merdeka drama covid mandat vaksin ;positive
dibaca peraturannya gimana pemerintah data privasi pengguna data privasi pemerintah pegang data bpjs peduli lindungi data bocor kemana penipuan chat random data ;negative
pengetahuan lengkap pengetahuan dajjal mengontrol manusia agenda pandemi seakan gapunya privasi data pribadi dikuasai lokasi dipantau jalan diawasi masuk mall pake pedulilindungi ;negative
ngikutin aturan nyeleneh baca permennya ngintip data privasi orang bertahuntahun data pengguna aman diserahkan pemerintah jaga data masyarakat peduli lindungi becus ;negative
aplikasi peduli lindungi udah melanggar privasi vaksin udah dinyatakan vaksin data dipakai data dipakai langgar privasi ;negative
menurutku esensinya wokwowk landasannya ngejaga privasi keamanan data masyarakat indonesia kabarnya kebocoran data peduli lindungi kemarinâ wkwkw ;positive
setuju pake peduli lindungi udah melanggar privasi masak gini ngeh ;negative
bener parah data peduli lindungi temukan dark nggak privasi ;positive
luhut udah bjorka mengada percaya luhut udah cuman blom masuk peduli lindungi kedepannya belajar luhut booster cepat masuk peduli lindungi ;positive
bjorka kadrun bodoh posting data keamanan asli ntar dicuri kadrun antisipasi kadrun kemakan tipuan polisi merasaa hebat kadalin polisi kadrun haker bjorka kerja ngintip dukcapil pedulilindungi ;negative
habis dihack bjorka ;positive
bjorkaane berteman kokkita liat kemampuan cyber indonesia kurangcoba tolong rusiapasti kebongkar lupa data peduli lindungicek smua access loginnya situ ketahuan download data ;positive
hahaha nganggap bjorka hacker internasional bongkar data data peduli lindungi langsung disembah ;negative
peduli lindungi freeze efek bjorka buka data vaksin pejabat ;positive
warganet tuding bjorka retas aplikasi pedulilindungi penjelasan kemenkes ;positive
bilang bjorka dapet data data sumber bilang peduli lindungi ;negative
aplikasi peduli lindungi hack bjorka error mulu ketinggalan kereta curhatkrl ;negative
peduli lindungi kena bjorka ;negative
peduli lindungi error diretas bjorka kali ;negative
bjorka bknlah orng hekel pagaroyong newbie mengambil data aplikasi peduli lindungi rentan data disebar wikileaks diserang pemerintah orng mencoba trik dunia politik hitam hasilnya lumayan memuaskan ;negative
timsus nanganin bjorka apps pedulilindungi errrorjson mulu ;negative
gatau kayanya data peduli lindungi sempet bocor sengaja mainan hackernya dikeluarin dikit feelingku bjorka udah nyimpen confidential orang berani ngasih kuisgiveaway hadiahnya ;positive
kasih bjorka kemarin nunjukin adminer adminer file berketensi fungsinya mengedit delete crud data elite share berasal pedulilindungi ngewanti peduli lindungi ;negative
whatever prof membenarkan data peduli lindungi berhasil dibobol bjorka data menyakiti hati rakyat ;positive
hacker bjorka diduga bocoran data aplikasiâ pedulilindungi ;positive
kayaknya hacker bjorka kadrun mantan pegawai pedulilindungi posting data booster hacker paham kadrun bodoh percaya apapun info hacker nyinyir ;negative
bjorka diduga bocoran data lamaâ pedulilindungi ;positive
pake bjorka peduli lindungi ;negative
hacker bjorka diduga pakai bocoran data pedulilindungiâ hukum ;positive
lamalama ragu kalo bjorka hacker negeri kyknya bjorka orang indonesia kerja peduli lindungi ngehacknya data dasar peduli lindungi ;negative
jasa joki vaksin booster teraman guys terdaftar peduli lindungi vaksin langsung full dosis nunggu real hasil hack ;negative
jasa joki vaksin booster teraman guys terdaftar peduli lindungi vaksin langsung full dosis nunggu real hasil hack ;negative
jasa joki vaksin teraman guys terdaftar peduli lindungi vaksin langsung full dosis nunggu real hasil hack ;negative
jasa joki vaksin teraman guys terdaftar peduli lindungi real hasil hack ;negative
society cyber security data bpjs bocor gimana lanjutannya data peduli lindungi dijual darkweb diapain data situs tangan hack kominfi wakanda kemana user prefer jaga data perusahaan sekelas google meta ;negative
mikirin anak seventeen kalo download pedulilindungi datanya bocor ;positive
indikasi pandemi berubah endemi itusudah applikasi peduli lindungi data bocor ;negative
datadata bocor peduli lindungi fimana ;negative
pelindungan data pribadi menyasar orang perseorangan korporasi gimana data bocor aplikasi milik pemerintah peduli lindungi narasinya diganti data peduli lindungi dihack pemerintah salah ;positive
hrus tuntut pedulilindungi data bocor pmerintah skill utama ngeles ;negative
orangnya dapet emang keknya datanya udah bocor dicoba search google nama kengkap lengkap tanggal lahirnya tinggal trial tanggal vaksinnya peduli lindungi ;positive
bocor diupload bang peduli lindungi data pribadi keep ;positive
update bang pedulilindungi bocor ;positive
seventeen disuruh install peduli lindungi datanya bocor ;positive
wkwkwkwk data basi peduli lindungi emang udah bocor munir udah rahasia filenya udah ilang zaman beye ;positive
heker katro diladenin ngeshare data bocor peduli lindungi data basi doang heboh ;positive
trus bocor data peduli lindungibyk pokoknya ocehin bang ;positive
data bocor data bpjs card peduli lindungi bikin aplikasi dikombinasi googlemap nunjuk alamat rumah daftar nama penghuni lengkap datadata horror ;negative
bjorka this bjorka that guys lebay mean whats problem thennnn ngedoxx presiden perasaan drdl udah ngedoxx presiden zamannya data pedulilindungi bocor wkwkwkwk ;negative
data pedulilindungi bocor wkwkwk ;negative
kayak ambil data peduli lindungi bocor ;negative
mall rumah sakit scan pedulilindungi imbas data bocor ;positive
pedulilindungi error masukâ maksa masyarakat pake apps dikit update diupdate data tetep bocor beneran maksa appnya update mulu notice ;negative
peduli lindungi musti pampresin biar kgak bocor mulu ;negative
dibahas gembok ngeyel data bocor aplikasi peduli lindungi mending ;positive
stttt dinotice hacker beneran data peduli lindungi bocor kmaren seru ;negative
karna data sebar data emang bocor biarpun memalukan cyber defense indonesia emang kenyataan data peduli lindungi kebobolan kali kmaren update ;negative
data vaksin diduga bocor komisi aplikasi pedulilindungi dievaluasi ;positive
amerika dibobol assenge datanya efek data bocor hacker kelas teri data data nomer peduli lindungi ;positive
buka data peduli lindungi ngak data bocor ;positive
data peduli lindungi bocor kemarin ;positive
pbhi menggugat kontrak kemenkes pedulilindungi dikhawatirkan rawan bocor dikelola ketiga alasannya ;positive
kemenkes siapkan pedulilindungi bahasa pake bahasa data bocor ;negative
data diambil booster ketiga brrti vaksin pendataan stelah bocor petinggi dimasukkan datanya peduli lindungi masyarakat sorry info kesannya sperti prtnyaan diatas ;negative
data pribadi bocor dibilang data rahasia udah terintegrasi pedulilindungi bpjs pajak data diperbankan skrg pake bocor bocor mengumpat hati ;positive
heker pager doyong pujaan kdrun real hacker ngurusin gosip katimbang ngurusin ultah puan receh peduli lindungi bocor udah tauk real hacker bongkar super rahasia super sulit ;negative
caper cringe banget menghilangkan fakta pedulilindungi bocor data valid mutakhir orang indonesia ;positive
data bpjs bocor data peduli lindungi bocor ketiga data indihome bocor nikmat dustakan ;negative
data rakyat bocor kerjaan urus ditindak pidana membahayakan rakyat negara sekelas bocor pedulilindungi bocor skrg datakartu card bocor rakyat disuruh jaga gimana ceritanya bikin pasword daftar ;negative
data pinjol fintech marketplace nomer pejabat data peduli lindungi kmrn bocor ;negative
cieee panik gara terintimidasi panik panik gaaa suruh masyarakat jaga data pribadi biar bocor peduli lindungi suka bocor ;positive
warga mengaktifkan peduli lindungi pertamina card diwajib memasukkan data pribadi data bocor negara wajib melindungi data wajibnya warga memasukkan data menunggu langka negara kemkominfo ;negative
bocor peduli lindungi vaksin ;positive
data bocor data pedulilindungi rentang tanggal booster ;positive
simple diduga pedulilindungi bocor audit umumkan hasilnya nggak publik ;positive
seinget pedulilindungi data angkat tangan baca kalo salah rame kalo data bocor gamau tanggungjawab ;negative
seru ledek hiburan nyomot data peduli lindungi sempet bocor ;negative
dispill bjorka data pnddk dijual negri lupa yapedulilindungi pleciden bocor septmber gakaman dibiarin krja dbyar duit rkyt hsilnya mlindungi sgenap bangsa indonesia adlh tugas pmrintah sesuai pmbukaan ;negative
elukan janji data masyarakat indonesia aktivasi peduli lindungi bocor ;negative
nomor halo datanya ngga regist pedulilindungi akses bjorka share kebanyakan data bocor vaksin ;negative
data peduli lindungi bocor masuk pake scan bgtu apps peduli lindungi ;negative
nasa bocor langsung ditambal blog koar sampe nyalahin masyarakat warga jaga data registrasi mengeluarkan peduli lindungi giliran kena hack lepas tanggung ;negative
sdkit menggelitik mbak bjork datanya data pedulilindungi sempet bocor vaksin spil hehe mbak bjork ambil data sono hayoooo mbak bjork ngaku ;negative
ngambil datanya data peduli lindungi bocor keknynya ;negative
bjorka memanfaatkan data pedulilindungi bocor miliki nyebar data udah terkait bbrp beneran data penyelidikan data personal such alamat ;negative
papalah bocor jugaâ pedulilindungi capek spam ;negative
cari pedulilindungi sistem emang bocor kpanlalu pleciden bocor aplg laen gakpake nodrop ;positive
bjorka dibenci masyarakat indonesia dianggap pahlawan rakyat muak tindakan pemerintah bjorka menguatkan dugaan data pedulilindungi bocor ;positive
data penduduk indo udah dijual pengusaha asing data pedulilindungi wahid bocorapalah penduduk ;positive
sblm bjorka reveal data orang indo dijual luarnegri data pedulilindungi pleciden bocor intinya udah berborokaja diabjorka buka perban doank ;negative
blokir korban nomor penjamin nama teman dokter temen dokter kaya hutang jtan info temen nomernya bocor peduli lindungi ;negative
data card pelanggan indih bocor kemkominfo enggan bertanggung bilang jaga data data pedulilindungi erick thohir bocor menteri diam seribu bahasa kerjamu ngapain joni ;negative
pedulilindungi emang problem bocor data tracker ;negative
canggih sekelas bocor pedulilindungi bocor begok dipelihara membela salah ;negative
database bocor asli bapuk bener ;negative
data peduli lindungi bocor ;negative
vaccin data bocor berasal peduli lindungi kali ;negative
aplikasi peduli lindungi diakses kepentingan bocor contoh ;positive
hapus aplikasi peduli lindungi bocor pake digital dimintain data pribadi pertggjwbannya ;positive
haduh bikin data bocor data bocor pool data diprotect bener kominfo ektp pedulilindungi maksa pool data kesitu rakyat kasihan gila ;positive
mohon maaf kesal menyuruh aplikasi peduli lindungi data aman bocor celakanya terdzolimi heran stop being idiot ;positive
memaksakan aplikasi peduli lindungi institusi terlibat kebijakan paksa vaksinasi covid bertanggungjawab bocor data rakyat indonesia enak ngabisin apbn suruh nanggung rakyat mikir bong ;negative
data ektp bocor data ecommerce bocor data card bocor data pedulilindungi hilang digital diperkoas semoga data skck aman jokowi ;positive
lihat prof goblok tolol tanggung data bocor peduli lindungi ;negative
data dijual kominfo data bocor pedulilindungi data hilang puluhan juta ratusan juta milyaran hadeh kacau dampaknya tagihan muncul tibatiba muncul suara siluman pemilu ;negative
aplikasi pemerintah taruhlah peduli lindungi data tibatiba data raib bocor dijual dibobol pemerintah menjaga identitas kependudukan logikanya ;positive
beres database indihome database registrasi simcard database database pedulilindungi bocor pejabat ditempatkan ahlinya ;negative
database kominfo diinfokan bocor data pengguna pedulilindungi diinfokan bocor tenang data oligarki aman ;negative
revolusi industri data warga bocor brin dipimpin tamatan ;negative
rakyat dipaksa pedulilindungi datanya bocor hilang ;negative
untung pakai pedulilindungi nyolong bocor ;negative
sampe speechless data lembaga bocor trus data peduli lindungi dihapus kasar ;negative
data card bocor data customer indihome data data pedulilindungi usaha pencegahannya nyuruh hacker ngehack pemerintah isinya orang orang bego becandaan taunya real anjing ;positive
juta data pedulilindungi hilang langkah patut diacungi jempol mencegah kebocoran data akhirakhir data bocor ;negative
data registrasi simcard bocor data bocor data pedulilindungi corbocor disah sampe kiamat masak ;negative
data registrasi card prabayar bocor menyusul erick thohir singgung juta data pedulilindungi hilang ;negative
embel;negative
lhooo tempo data peduli lindungi bocor bener registrasi pake bukankurang percaya negara ;positive
rencana pedulilindungi aplikasi kesehatan terintegrasi aplikasi pemerintah nyata ngimpi total control data bocor more ;positive
weitz sireee kitane weroh gitu mengkonon terusss bocorr bocor aplikasi buatan pemerintah jugaaa data peduli lindungi kemaren bocor data ;negative
diperhatikan serius perlindungan data pribadi bocor pedulilindungi aplikasi publik kesehatan dikembangkan halhal kesehatan publik ;positive
tinggal nunggu data bocor pedulilindungi seringsering crosscheck ;negative
bocor;negative
bilang lindungi data masingmasing pribadi maksa vaksinasi data aplikasi peduli lindungi ngomong menkominfo menko omong kosong xixixixi xixixixi pantesan data bocor ;positive
beneran pengen nonton ;negative
giveaway pass exhibitor sabtu minggu serius reply beneran dipake dijual peduli lindungi udah hijau booster ;positive
kalo disuruh download pedulilindungi data dijual minfo ;negative
ngomong apapun faktanya dijual data hasil registrasi blog data peduli lindungi bicara ngelantur kemanamana ;negative
oposisi dibobol status menarik dijual dijual data oposisi data warga setara penduduk dianggep remeh sblm rame pandemi pedulilindungi datanya dijual bedanya terbakar ;negative
hacker ambil data kominfo pedulilindungi setneg situs pemda dibuka dijual darknet warga kebelah ketawa marah akun twtr tele banned ;negative
data penduduk indo udah dijual pengusaha asing data pedulilindungi wahid bocorapalah penduduk ;positive
gausah dijual ditambahin peduli lindungi ;negative
validasi data peduli lindungi dalamnya data uangkan validasi dijual ;negative
eserius juta data peduli lindungi ilang negara lindungi data warganya gimana aman hellloooo kominfo nyaman data data warga dijual beli hilang ;negative
masuk mall pinjem kaum pemuja covid ngapain nyebar data aplikasi peduli lindungi data rakyat indonesia dijual alibaba cina singapura data ehac dikirim singapura cina proses investigasinya ;negative
baca emang beneran data peduli lindungi bocor bpjs dijual oknum didownload gratis denial lahemang pemerintah gagal seleksi sesuai disiplin ilmunyaudah ngaco ;negative
wkwkw badut emang keamanan data masyarakat gapernah diproses penyerangan peretasan data bpjs pedulilindungi dibobol dijual pake acara nasional benerbener nyusul china trus korea utara ;negative
waww instansi pemerintah hobi jual data pengguna peduli lindungi dijual datanya ;negative
bang data bpjs peduli lindungi dijual grosiran dark macem ginian pemerintah sengaja ngebocorin data user anjinganjing buzzer ngonggong neror kontra ;positive
peduli lindungi release sebulan data bocor dijual darkweb website seharga triliun tanggal juli kemaren diretas teknik hacking gampang ganti session masuk admin kotak katik database ;negative
kolam renang abis scan peduli lindungi scan muka dapet match identitas wajahku basic information bingung darimana dtgnya ;positive
silakan identitas asli sertifikat vaksin aplikasi pedulilindungi bentuk cetakfisik informasi syarat perjalanan lengkapnya link trims ;negative
silakan identitas asli sertifikat vaksin aplikasi pedulilindungi bentuk cetakfisik informasi syarat perjalanan lengkapnya link trims ;negative
menerima vaksinasi dosis ketiga menunjukan hasil negatif covid kartu identitas sertifikat vaksin mohon pastikan sertifikat vaksin terbit aplikasi pedulilindungi ;positive
indo ginian diperhatiin organizernya kemarin konser jeketi scan peduli lindungi tukar tiket sore suruh nunjukin identitas singkron statement ;positive
scan peduli lindungi bawa identitas ;positive
menerima vaksinasi dosis ketiga menunjukan hasil negatif covid kartu identitas sertifikat vaksin mohon pastikan sertifikat vaksin terbit aplikasi pedulilindungi ;positive
masukin nomor identitasktp diverif otomatis sesuai data pedulilindungi kalo sesuai gabisa pembayaran ;negative
menerima vaksinasi dosis ketiga menunjukan hasil negatif covid kartu identitas sertifikat vaksin mohon pastikan sertifikat vaksin terbit aplikasi pedulilindungi ;positive
kartu identitas sertifikat vaksin dosis ketiga mohon pastikan sertifikat vaksin terbit aplikasi pedulilindungi terima kasih ;negative
ngomongidentitas gitu peduli lindungi pupink ;negative
data kependudukan acakacakan ektp pusat verifikasi gagal gara dikorup tiang listrik data pedulilindungi pusat verifikasi identitas uniq berintegritas bansosbltdll sasaran pemilik data ;positive
bersedia hadir ahli gugatan pedulilindungi dibocorkan salahgunakan pedulilindungi identitas orang ;positive
jaga klinik bawa bawa peduli lindungi nyolot bawa identitas jaga aing gerung ngapain situ repot yasudah sore ngehe wkwk ;positive
ditelepon nomor verif data nama alamat tinggal lari nomor hrsnya kalo nawarin ngejelasin bilang bawa identitas mbanya keukeuh liat bpjssimfotopedulilindungi ;positive
masuk perpus scan identitas kunjungan kayak pedulilindungi gitu niatnya pengen bilang penjaga input nama bilang absen kelas ;negative
pedulilindungi rangkul keamanan prokes lintas negara nusantara identitas bangsa ;negative
pedulilindungi rangkul keamanan prokes lintas negara nusantara identitas bangsa ;negative
mohon mengunduh aplikasi pedulilindungi pastikan berstatus layak terbang silakan berkoordinasi langsung maskapai penerbangan informasi ;negative
mohon mengunduh aplikasi pedulilindungi pastikan berstatus layak terbang silakan berkoordinasi langsung maskapai penerbangan informasi ;negative
selamat sore syarat penumpang lokal wajib melampirkan sertifikat vaksin minimal dosis dibuktikan aplikasi peduli lindungi kartu vaksin informasi syarat lengkap penumpang silakan link trims ;positive
pemeriksaan rtpcr antigen diberlakukan keberangkatan kakak wajib kartusertifikat vaksin aplikasi peduli lindungi fisik informasi lengkap dicek link trims ;positive
selamat pagi sertifikat vaksin langsung aplikasi pedulilindungi bentuk cetakfisik informasi lengkapnya link trims ;positive
hadir isef simak informasi sobat isef assembly halljcc scan barcode aplikasi pedulilindungi scan barcode registrasi tunjukan petugas sobat isef menjelajah area sharia fair isef ;negative
dibuktikan aplikasi peduli lindungi kartu vaksin informasi syarat lengkap penumpang silakan link trims ;positive
silakan sertifikat vaksin minimal dosis aplikasi pedulilindungi informasi lengkapnya dicek tautan trims ;positive
selamat siang keberangkatan kakak bukti sertifikat vaksin aplikasi pedulilindungi kartu vaksinasi bentuk fisikcetak informasi lengkap syarat ketentuan perjalanan silakan link trims ;positive
diperlakukan covid mengakses status pedulilindungi orang berhak informasi kesehatan orang berdampak kesehatan pilihan menerima ;positive
bukti vaksinasi ditunjukan aplikasi pedulilindungi sertifikat fisikcetak kartu vaksin informasi lengkap syarat link trims ;positive
kartu keluarga dipake login peduli lindungi tuuu sssong ;positive
overcapacity kuda aturan beli tiket mesti peduli lindungi konek beli online kuda ;negative
cuman kang tiket habis terkoneksi langsung peduli lindungi metode face recognition tiket dipindahtangankan ;positive
guys peduli lindungi nama udah bener tetep ;negative
peduli lindungi registrasi njenengan podo ndek kunu sertifikat elektroni vaksin ;negative
digital secanggih gunanya aplikasi peduli lindungi langsung riwayat vaksin individu mbok insaf ribetnya birokrasi ;negative
browser nggak efektif banget kaya gitu pake aplikasi ribettt tinggal buka browser ketik alamat pedulilindungi masukkan nama lengkap habis hasilnya simpan pake skrinsot ;negative
halo aproval vaksin negeri banget coba reject salah kaya positif thinking mata ngecheck seliwer coba sampe skrng approve kereta bermasalah ;positive
kayanyaaa bener wajib idol sekalipunwkwwkwk kebayang hotspot download peduli lindungi kagak begimanaaa ;negative
daftar pedulilindungi kaga anjirr notifnya nama sesuai emang terdaftar warga indo nyet bangsat ;negative
mikirin sebong donlod peduli lindungi daftar kartu telpon masukin dimasing hpnya biar nyambung internet indo dipake ;positive
checkin langsung terkoneksi peduli lindungi ketauan sudahbelum vaksin pemesanan nggak terkoneksi penumpang nggak kebijakan update nggak pesen tiketnya statusnya gagal ;positive
pedulilindungi emang login pake ;negative
pake sape kalo peduli lindungi ;negative
aelah banget urusannya peduli lindungi urusan dukcapil terdaftar gimana ;positive
gila beli tiket nonton nama rekening ticket udah persis trus nonton ngecek tiketnya taunya palsu trus lacak peduli lindungi nama sinkron edit anjir mulus niat barcode edit hati ;positive
telat nikktpku udah masuk bpjs pedulilindungi gopay dikhawatirin ;positive
lupa kalo disuruh pake pedulilindungi ;negative
untung peduli lindungi liat ;negative
